artifact	path	bytes	sha256	expected_sha256	status
a1_deployable	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/candidates/quantization/A1/run1/output/xslim_dev_001a_a1_split_s8_qdq.onnx	2939171	8fad9fa0e385f58da281d963c5e18b010c80c402dcbeed0b46e3ca3065d010f3	8fad9fa0e385f58da281d963c5e18b010c80c402dcbeed0b46e3ca3065d010f3	pass
a1_inference	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/candidates/postprocess/A1/models/stage65b_r1_a1.inference.onnx	2762851	f7c5345f68cf79a5c3748274239a14cdaa59f77eac0425f7771694febaa24632	f7c5345f68cf79a5c3748274239a14cdaa59f77eac0425f7771694febaa24632	pass
a1_range_manifest	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-DEV-001A-SPACEMIT-S8-QDQ-CONSTRAINED-RANGE-OBSERVER-TERMINAL-DOMAIN-AND-POLICY-A-HOST-CANDIDATE-GATE-001/candidates/quantization/A1/run1/range-policy-manifest.json	12441	e9ce9a1e71005d60ad18213d8110fbf51d4ab9ceb8509d9786989685aa0f7e6f	e9ce9a1e71005d60ad18213d8110fbf51d4ab9ceb8509d9786989685aa0f7e6f	pass
b2_deployable	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B2/run1/output/stage65b_r1_b2_split_s8_qdq.onnx	2939171	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	pass
b2_inference	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/postprocess/B2/candidate-gate/B2/models/stage65b_r1_b2.inference.onnx	2762851	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	pass
common_tail	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/postprocess/B2/candidate-gate/B2/models/stage65b_r1_b2.postprocess.onnx	176243	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	pass
ort206_asset	/data/vendor-runtimes/downloads/spacemit-ort.riscv64.2.0.6.tar.gz	15002263	bebcdfb7df6b49eefa3863afcd85a3da2aa83c3ae9252d7d856188c38a70b0e6	bebcdfb7df6b49eefa3863afcd85a3da2aa83c3ae9252d7d856188c38a70b0e6	pass
ort206_core	/data/vendor-runtimes/spacemit-ort/2.0.6/spacemit-ort.riscv64.2.0.6/lib/libonnxruntime.so.1.24.2+spacemit.a1	20383912	93bb75601d9eceb5aca192fa70c0c3e18b94a70b9f57acdc9b34c2ff426e09e3	93bb75601d9eceb5aca192fa70c0c3e18b94a70b9f57acdc9b34c2ff426e09e3	pass
ort206_ep	/data/vendor-runtimes/spacemit-ort/2.0.6/spacemit-ort.riscv64.2.0.6/lib/libspacemit_ep.so.2.0.6	5962176	dcc9503031bca22cf2b33a692f7b4c01d0fbb4a24c34f6e60c7faaddb78274ae	dcc9503031bca22cf2b33a692f7b4c01d0fbb4a24c34f6e60c7faaddb78274ae	pass
two_stage_runner	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/bin/stage64_two_stage_runner	88048	b39da697c4c0f309a9955475946ce5ce6b53b264bd3bae7cb50283fb49ce2188	b39da697c4c0f309a9955475946ce5ce6b53b264bd3bae7cb50283fb49ce2188	pass
two_stage_coco	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/bin/stage64_two_stage_coco	83608	d39f5280a46b0bd342de933d6b25005a5858390430e8ce84377374f4a8225ad0	d39f5280a46b0bd342de933d6b25005a5858390430e8ce84377374f4a8225ad0	pass
