resolution	operation_index	name	kind	feature_h	feature_w	M	N	K	batch	kernel	stride	groups	M12_tail	M8_tail	M4_tail	N4_tail	N8_tail	N16_tail	A_tile_bytes_M12	B_tile_bytes_N16	C_accumulator_bytes_M12N16	tile_bytes_M12N16	estimated_l1_working_set_bytes	input_activation_bytes	output_activation_bytes	concurrently_live_activation_bytes	output_arena_offset	output_first_op	output_last_op	packed_weight_bytes	shape_class_instances
640	1	/model.0/conv/Conv	conv_dense	320	320	102400	16	27	1	3x3	2	1	4	0	0	0	0	0	324	432	768	1524	1524	3276800	1638400	4915200	3276800	1	2	1152	1
640	3	/model.1/conv/Conv	conv_dense	160	160	25600	32	144	1	3x3	2	1	4	0	0	0	0	0	1728	2304	768	4800	4800	1638400	819200	2457600	1638400	3	4	4608	1
640	5	/model.2/cv1/conv/Conv	conv_dense	160	160	25600	32	32	1	1x1	1	1	4	0	0	0	0	0	384	512	768	1664	1664	819200	819200	1638400	1638400	5	11	1024	1
640	7	/model.2/m.0/cv1/conv/Conv	conv_dense	160	160	25600	8	144	1	3x3	1	1	4	0	0	0	0	8	1728	2304	768	4800	4800	409600	204800	1433600	2867200	7	8	2304	1
640	9	/model.2/m.0/cv2/conv/Conv	conv_dense	160	160	25600	16	72	1	3x3	1	1	4	0	0	0	0	0	864	1152	768	2784	2784	204800	409600	1843200	0	9	10	1152	1
640	12	/model.2/cv2/conv/Conv	conv_dense	160	160	25600	64	48	1	1x1	1	1	4	0	0	0	0	0	576	768	768	2112	2112	1228800	1638400	2867200	4915200	12	13	3072	1
640	14	/model.3/conv/Conv	conv_dense	80	80	6400	64	576	1	3x3	2	1	4	0	0	0	0	0	6912	9216	768	16896	16896	1638400	409600	2048000	0	14	15	36864	1
640	16	/model.4/cv1/conv/Conv	conv_dense	80	80	6400	64	64	1	1x1	1	1	4	0	0	0	0	0	768	1024	768	2560	2560	409600	409600	819200	0	16	22	4096	1
640	18	/model.4/m.0/cv1/conv/Conv	conv_dense	80	80	6400	16	288	1	3x3	1	1	4	0	0	0	0	0	3456	4608	768	8832	8832	204800	102400	716800	3072000	18	19	4608	1
640	20	/model.4/m.0/cv2/conv/Conv	conv_dense	80	80	6400	32	144	1	3x3	1	1	4	0	0	0	0	0	1728	2304	768	4800	4800	102400	204800	921600	409600	20	21	4608	1
640	23	/model.4/cv2/conv/Conv	conv_dense	80	80	6400	128	96	1	1x1	1	1	4	0	0	0	0	0	1152	1536	768	3456	3456	614400	819200	1433600	1638400	23	24	12288	1
640	25	/model.5/conv/Conv	conv_dense	40	40	1600	128	1152	1	3x3	2	1	4	0	0	0	0	0	13824	18432	768	33024	33024	819200	204800	1024000	409600	25	26	147456	1
640	27	/model.6/cv1/conv/Conv	conv_dense	40	40	1600	128	128	1	1x1	1	1	4	0	0	0	0	0	1536	2048	768	4352	4352	204800	204800	1228800	409600	27	42	16384	1
640	29	/model.6/m.0/cv1/conv/Conv	conv_dense	40	40	1600	32	64	1	1x1	1	1	4	0	0	0	0	0	768	1024	768	2560	2560	102400	51200	1177600	3174400	29	31	2048	6
640	30	/model.6/m.0/cv2/conv/Conv	conv_dense	40	40	1600	32	64	1	1x1	1	1	4	0	0	0	0	0	768	1024	768	2560	2560	102400	51200	1228800	3225600	30	40	2048	6
640	32	/model.6/m.0/m/m.0/cv1/conv/Conv	conv_dense	40	40	1600	32	288	1	3x3	1	1	4	0	0	0	0	0	3456	4608	768	8832	8832	51200	51200	1280000	3174400	32	33	9216	12
640	34	/model.6/m.0/m/m.0/cv2/conv/Conv	conv_dense	40	40	1600	32	288	1	3x3	1	1	4	0	0	0	0	0	3456	4608	768	8832	8832	51200	51200	1331200	3174400	34	35	9216	12
640	36	/model.6/m.0/m/m.1/cv1/conv/Conv	conv_dense	40	40	1600	32	288	1	3x3	1	1	4	0	0	0	0	0	3456	4608	768	8832	8832	51200	51200	1280000	614400	36	37	9216	12
640	38	/model.6/m.0/m/m.1/cv2/conv/Conv	conv_dense	40	40	1600	32	288	1	3x3	1	1	4	0	0	0	0	0	3456	4608	768	8832	8832	51200	51200	1331200	614400	38	39	9216	12
640	41	/model.6/m.0/cv3/conv/Conv	conv_dense	40	40	1600	64	64	1	1x1	1	1	4	0	0	0	0	0	768	1024	768	2560	2560	102400	102400	1331200	1433600	41	42	4096	3
640	43	/model.6/cv2/conv/Conv	conv_dense	40	40	1600	128	192	1	1x1	1	1	4	0	0	0	0	0	2304	3072	768	6144	6144	307200	204800	1331200	409600	43	44	24576	4
640	45	/model.7/conv/Conv	conv_dense	20	20	400	256	1152	1	3x3	2	1	4	0	0	0	0	0	13824	18432	768	33024	33024	204800	102400	1126400	307200	45	46	294912	1
640	47	/model.8/cv1/conv/Conv	conv_dense	20	20	400	256	256	1	1x1	1	1	4	0	0	0	0	0	3072	4096	768	7936	7936	102400	102400	1228800	307200	47	62	65536	3
640	49	/model.8/m.0/cv1/conv/Conv	conv_dense	20	20	400	64	128	1	1x1	1	1	4	0	0	0	0	0	1536	2048	768	4352	4352	51200	25600	1203200	665600	49	51	8192	2
